feature,threshold,direction,tp,tn,fp,fn,accuracy,balanced_accuracy,precision,recall,specificity
question_alignment,0.6976096461034497,>=,87,1,99,13,0.44,0.44,0.46774193548387094,0.87,0.01
question_alignment,0.6976096461034497,<=,14,99,1,86,0.565,0.565,0.9333333333333333,0.14,0.99
question_alignment,0.6978293049317776,>=,86,1,99,14,0.435,0.435,0.4648648648648649,0.86,0.01
question_alignment,0.6978293049317776,<=,15,99,1,85,0.57,0.57,0.9375,0.15,0.99
question_alignment,0.6989339482209073,>=,85,1,99,15,0.43,0.43,0.46195652173913043,0.85,0.01
question_alignment,0.6989339482209073,<=,16,99,1,84,0.575,0.575,0.9411764705882353,0.16,0.99
question_alignment,0.6993542492106836,>=,84,1,99,16,0.425,0.425,0.45901639344262296,0.84,0.01
question_alignment,0.6993542492106836,<=,16,98,2,84,0.57,0.57,0.8888888888888888,0.16,0.98
question_alignment,0.6997766370438865,>=,84,2,98,16,0.43,0.43,0.46153846153846156,0.84,0.02
question_alignment,0.6997766370438865,<=,17,98,2,83,0.575,0.575,0.8947368421052632,0.17,0.98
question_alignment,0.7026645848939551,>=,83,2,98,17,0.425,0.425,0.4585635359116022,0.83,0.02
question_alignment,0.7026645848939551,<=,18,98,2,82,0.58,0.58,0.9,0.18,0.98
question_alignment,0.7033296651798001,>=,82,2,98,18,0.42,0.42,0.45555555555555555,0.82,0.02
question_alignment,0.7033296651798001,<=,19,98,2,81,0.585,0.585,0.9047619047619048,0.19,0.98
question_alignment,0.7037658663575368,>=,81,2,98,19,0.415,0.41500000000000004,0.45251396648044695,0.81,0.02
question_alignment,0.7037658663575368,<=,20,98,2,80,0.59,0.59,0.9090909090909091,0.2,0.98
question_alignment,0.7040766310358222,>=,80,2,98,20,0.41,0.41000000000000003,0.449438202247191,0.8,0.02
question_alignment,0.7040766310358222,<=,21,98,2,79,0.595,0.595,0.9130434782608695,0.21,0.98
question_alignment,0.7087628208776168,>=,79,2,98,21,0.405,0.405,0.4463276836158192,0.79,0.02
question_alignment,0.7087628208776168,<=,22,98,2,78,0.6,0.6,0.9166666666666666,0.22,0.98
question_alignment,0.7089526718958798,>=,78,2,98,22,0.4,0.4,0.4431818181818182,0.78,0.02
question_alignment,0.7089526718958798,<=,23,98,2,77,0.605,0.605,0.92,0.23,0.98
question_alignment,0.7092794241288983,>=,77,2,98,23,0.395,0.395,0.44,0.77,0.02
question_alignment,0.7092794241288983,<=,24,98,2,76,0.61,0.61,0.9230769230769231,0.24,0.98
question_alignment,0.709345427931099,>=,76,2,98,24,0.39,0.39,0.4367816091954023,0.76,0.02
question_alignment,0.709345427931099,<=,25,98,2,75,0.615,0.615,0.9259259259259259,0.25,0.98
question_alignment,0.7093560610774993,>=,75,2,98,25,0.385,0.385,0.43352601156069365,0.75,0.02
question_alignment,0.7093560610774993,<=,26,98,2,74,0.62,0.62,0.9285714285714286,0.26,0.98
question_alignment,0.7112618456820567,>=,74,2,98,26,0.38,0.38,0.43023255813953487,0.74,0.02
question_alignment,0.7112618456820567,<=,27,98,2,73,0.625,0.625,0.9310344827586207,0.27,0.98
question_alignment,0.7116890226566581,>=,73,2,98,27,0.375,0.375,0.4269005847953216,0.73,0.02
question_alignment,0.7116890226566581,<=,28,98,2,72,0.63,0.63,0.9333333333333333,0.28,0.98
question_alignment,0.7128137644082089,>=,72,2,98,28,0.37,0.37,0.4235294117647059,0.72,0.02
question_alignment,0.7128137644082089,<=,28,97,3,72,0.625,0.625,0.9032258064516129,0.28,0.97
question_alignment,0.7155323097131912,>=,72,3,97,28,0.375,0.375,0.4260355029585799,0.72,0.03
question_alignment,0.7155323097131912,<=,29,97,3,71,0.63,0.63,0.90625,0.29,0.97
question_alignment,0.7158414360646898,>=,71,3,97,29,0.37,0.37,0.4226190476190476,0.71,0.03
question_alignment,0.7158414360646898,<=,30,97,3,70,0.635,0.635,0.9090909090909091,0.3,0.97
question_alignment,0.715891747673965,>=,70,3,97,30,0.365,0.365,0.41916167664670656,0.7,0.03
question_alignment,0.715891747673965,<=,31,97,3,69,0.64,0.64,0.9117647058823529,0.31,0.97
question_alignment,0.7159092846077372,>=,69,3,97,31,0.36,0.36,0.41566265060240964,0.69,0.03
question_alignment,0.7159092846077372,<=,32,97,3,68,0.645,0.645,0.9142857142857143,0.32,0.97
question_alignment,0.7231155105972835,>=,68,3,97,32,0.355,0.35500000000000004,0.4121212121212121,0.68,0.03
question_alignment,0.7231155105972835,<=,32,96,4,68,0.64,0.64,0.8888888888888888,0.32,0.96
question_alignment,0.7243783751626645,>=,68,4,96,32,0.36,0.36000000000000004,0.4146341463414634,0.68,0.04
question_alignment,0.7243783751626645,<=,32,95,5,68,0.635,0.635,0.8648648648648649,0.32,0.95
question_alignment,0.7250242042250549,>=,68,5,95,32,0.365,0.36500000000000005,0.4171779141104294,0.68,0.05
question_alignment,0.7250242042250549,<=,33,95,5,67,0.64,0.64,0.868421052631579,0.33,0.95
question_alignment,0.7261336028180942,>=,67,5,95,33,0.36,0.36000000000000004,0.41358024691358025,0.67,0.05
question_alignment,0.7261336028180942,<=,33,94,6,67,0.635,0.635,0.8461538461538461,0.33,0.94
question_alignment,0.7272905095002411,>=,67,6,94,33,0.365,0.365,0.4161490683229814,0.67,0.06
question_alignment,0.7272905095002411,<=,34,94,6,66,0.64,0.64,0.85,0.34,0.94
question_alignment,0.7304531215394026,>=,66,6,94,34,0.36,0.36,0.4125,0.66,0.06
question_alignment,0.7304531215394026,<=,35,94,6,65,0.645,0.645,0.8536585365853658,0.35,0.94
question_alignment,0.7307097078142414,>=,65,6,94,35,0.355,0.355,0.4088050314465409,0.65,0.06
question_alignment,0.7307097078142414,<=,36,94,6,64,0.65,0.6499999999999999,0.8571428571428571,0.36,0.94
question_alignment,0.7308481314349164,>=,64,6,94,36,0.35,0.35,0.4050632911392405,0.64,0.06
question_alignment,0.7308481314349164,<=,37,94,6,63,0.655,0.655,0.8604651162790697,0.37,0.94
question_alignment,0.7308880614483646,>=,63,6,94,37,0.345,0.345,0.4012738853503185,0.63,0.06
question_alignment,0.7308880614483646,<=,38,94,6,62,0.66,0.6599999999999999,0.8636363636363636,0.38,0.94
question_alignment,0.7309922426815261,>=,62,6,94,38,0.34,0.33999999999999997,0.3974358974358974,0.62,0.06
question_alignment,0.7309922426815261,<=,39,94,6,61,0.665,0.665,0.8666666666666667,0.39,0.94
question_alignment,0.7330307757920027,>=,61,6,94,39,0.335,0.33499999999999996,0.3935483870967742,0.61,0.06
question_alignment,0.7330307757920027,<=,40,94,6,60,0.67,0.6699999999999999,0.8695652173913043,0.4,0.94
question_alignment,0.735326458127888,>=,60,6,94,40,0.33,0.32999999999999996,0.38961038961038963,0.6,0.06
question_alignment,0.735326458127888,<=,40,93,7,60,0.665,0.665,0.851063829787234,0.4,0.93
question_alignment,0.7364010475924955,>=,60,7,93,40,0.335,0.33499999999999996,0.39215686274509803,0.6,0.07
question_alignment,0.7364010475924955,<=,41,93,7,59,0.67,0.67,0.8541666666666666,0.41,0.93
question_alignment,0.7372283624610168,>=,59,7,93,41,0.33,0.32999999999999996,0.3881578947368421,0.59,0.07
question_alignment,0.7372283624610168,<=,42,93,7,58,0.675,0.675,0.8571428571428571,0.42,0.93
question_alignment,0.7385075017860727,>=,58,7,93,42,0.325,0.32499999999999996,0.3841059602649007,0.58,0.07
question_alignment,0.7385075017860727,<=,42,92,8,58,0.67,0.67,0.84,0.42,0.92
question_alignment,0.7398136368829141,>=,58,8,92,42,0.33,0.32999999999999996,0.38666666666666666,0.58,0.08
question_alignment,0.7398136368829141,<=,42,91,9,58,0.665,0.665,0.8235294117647058,0.42,0.91
question_alignment,0.7408691359233108,>=,58,9,91,42,0.335,0.33499999999999996,0.38926174496644295,0.58,0.09
question_alignment,0.7408691359233108,<=,43,91,9,57,0.67,0.67,0.8269230769230769,0.43,0.91
question_alignment,0.7414222621356369,>=,57,9,91,43,0.33,0.32999999999999996,0.38513513513513514,0.57,0.09
question_alignment,0.7414222621356369,<=,43,90,10,57,0.665,0.665,0.8113207547169812,0.43,0.9
question_alignment,0.7423813102391444,>=,57,10,90,43,0.335,0.33499999999999996,0.3877551020408163,0.57,0.1
question_alignment,0.7423813102391444,<=,44,90,10,56,0.67,0.67,0.8148148148148148,0.44,0.9
question_alignment,0.7435725011768675,>=,56,10,90,44,0.33,0.33,0.3835616438356164,0.56,0.1
question_alignment,0.7435725011768675,<=,44,89,11,56,0.665,0.665,0.8,0.44,0.89
question_alignment,0.7451394419895687,>=,56,11,89,44,0.335,0.335,0.38620689655172413,0.56,0.11
question_alignment,0.7451394419895687,<=,45,89,11,55,0.67,0.67,0.8035714285714286,0.45,0.89
question_alignment,0.7459662194413925,>=,55,11,89,45,0.33,0.33,0.3819444444444444,0.55,0.11
question_alignment,0.7459662194413925,<=,46,89,11,54,0.675,0.675,0.8070175438596491,0.46,0.89
question_alignment,0.7482131224851163,>=,54,11,89,46,0.325,0.325,0.3776223776223776,0.54,0.11
question_alignment,0.7482131224851163,<=,47,89,11,53,0.68,0.6799999999999999,0.8103448275862069,0.47,0.89
question_alignment,0.7490190290431976,>=,53,11,89,47,0.32,0.32,0.3732394366197183,0.53,0.11
question_alignment,0.7490190290431976,<=,48,89,11,52,0.685,0.685,0.8135593220338984,0.48,0.89
question_alignment,0.7495609883522986,>=,52,11,89,48,0.315,0.315,0.36879432624113473,0.52,0.11
question_alignment,0.7495609883522986,<=,49,89,11,51,0.69,0.69,0.8166666666666667,0.49,0.89
question_alignment,0.7512302747212288,>=,51,11,89,49,0.31,0.31,0.36428571428571427,0.51,0.11
question_alignment,0.7512302747212288,<=,49,88,12,51,0.685,0.685,0.8032786885245902,0.49,0.88
question_alignment,0.7514797128575865,>=,51,12,88,49,0.315,0.315,0.3669064748201439,0.51,0.12
question_alignment,0.7514797128575865,<=,49,87,13,51,0.68,0.6799999999999999,0.7903225806451613,0.49,0.87
question_alignment,0.7517984481841985,>=,51,13,87,49,0.32,0.32,0.3695652173913043,0.51,0.13
question_alignment,0.7517984481841985,<=,49,86,14,51,0.675,0.675,0.7777777777777778,0.49,0.86
question_alignment,0.7527794329626246,>=,51,14,86,49,0.325,0.325,0.3722627737226277,0.51,0.14
question_alignment,0.7527794329626246,<=,50,86,14,50,0.68,0.6799999999999999,0.78125,0.5,0.86
question_alignment,0.7535614065131564,>=,50,14,86,50,0.32,0.32,0.36764705882352944,0.5,0.14
question_alignment,0.7535614065131564,<=,51,86,14,49,0.685,0.685,0.7846153846153846,0.51,0.86
question_alignment,0.7537692387149798,>=,49,14,86,51,0.315,0.315,0.362962962962963,0.49,0.14
question_alignment,0.7537692387149798,<=,52,86,14,48,0.69,0.69,0.7878787878787878,0.52,0.86
question_alignment,0.755938398815547,>=,48,14,86,52,0.31,0.31,0.3582089552238806,0.48,0.14
question_alignment,0.755938398815547,<=,52,85,15,48,0.685,0.685,0.7761194029850746,0.52,0.85
question_alignment,0.7567110879605798,>=,48,15,85,52,0.315,0.315,0.3609022556390977,0.48,0.15
question_alignment,0.7567110879605798,<=,53,85,15,47,0.69,0.69,0.7794117647058824,0.53,0.85
question_alignment,0.7578406255552188,>=,47,15,85,53,0.31,0.31,0.3560606060606061,0.47,0.15
question_alignment,0.7578406255552188,<=,53,84,16,47,0.685,0.685,0.7681159420289855,0.53,0.84
question_alignment,0.7585850720737536,>=,47,16,84,53,0.315,0.315,0.35877862595419846,0.47,0.16
question_alignment,0.7585850720737536,<=,54,84,16,46,0.69,0.69,0.7714285714285715,0.54,0.84
question_alignment,0.7592079935894643,>=,46,16,84,54,0.31,0.31,0.35384615384615387,0.46,0.16
question_alignment,0.7592079935894643,<=,54,83,17,46,0.685,0.685,0.7605633802816901,0.54,0.83
question_alignment,0.7592098172972395,>=,46,17,83,54,0.315,0.315,0.35658914728682173,0.46,0.17
question_alignment,0.7592098172972395,<=,55,83,17,45,0.69,0.69,0.7638888888888888,0.55,0.83
question_alignment,0.7594475434649434,>=,45,17,83,55,0.31,0.31,0.3515625,0.45,0.17
question_alignment,0.7594475434649434,<=,56,83,17,44,0.695,0.6950000000000001,0.7671232876712328,0.56,0.83
question_alignment,0.760304362274445,>=,44,17,83,56,0.305,0.305,0.3464566929133858,0.44,0.17
question_alignment,0.760304362274445,<=,57,83,17,43,0.7,0.7,0.7702702702702703,0.57,0.83
question_alignment,0.7605602964204514,>=,43,17,83,57,0.3,0.3,0.3412698412698413,0.43,0.17
question_alignment,0.7605602964204514,<=,57,82,18,43,0.695,0.695,0.76,0.57,0.82
question_alignment,0.7646808981617715,>=,43,18,82,57,0.305,0.305,0.344,0.43,0.18
question_alignment,0.7646808981617715,<=,57,81,19,43,0.69,0.69,0.75,0.57,0.81
question_alignment,0.7648393647362592,>=,43,19,81,57,0.31,0.31,0.3467741935483871,0.43,0.19
question_alignment,0.7648393647362592,<=,57,80,20,43,0.685,0.685,0.7402597402597403,0.57,0.8
question_alignment,0.7651100931679514,>=,43,20,80,57,0.315,0.315,0.34959349593495936,0.43,0.2
question_alignment,0.7651100931679514,<=,58,80,20,42,0.69,0.69,0.7435897435897436,0.58,0.8
question_alignment,0.765591387251687,>=,42,20,80,58,0.31,0.31,0.3442622950819672,0.42,0.2
question_alignment,0.765591387251687,<=,58,79,21,42,0.685,0.685,0.7341772151898734,0.58,0.79
question_alignment,0.7663076740721918,>=,42,21,79,58,0.315,0.315,0.34710743801652894,0.42,0.21
question_alignment,0.7663076740721918,<=,59,79,21,41,0.69,0.69,0.7375,0.59,0.79
question_alignment,0.7665231152217895,>=,41,21,79,59,0.31,0.31,0.3416666666666667,0.41,0.21
question_alignment,0.7665231152217895,<=,59,78,22,41,0.685,0.685,0.7283950617283951,0.59,0.78
question_alignment,0.7668981788119039,>=,41,22,78,59,0.315,0.315,0.3445378151260504,0.41,0.22
question_alignment,0.7668981788119039,<=,59,77,23,41,0.68,0.6799999999999999,0.7195121951219512,0.59,0.77
question_alignment,0.7674320076315457,>=,41,23,77,59,0.32,0.32,0.3474576271186441,0.41,0.23
question_alignment,0.7674320076315457,<=,60,77,23,40,0.685,0.685,0.7228915662650602,0.6,0.77
question_alignment,0.7674910853866478,>=,40,23,77,60,0.315,0.315,0.3418803418803419,0.4,0.23
question_alignment,0.7674910853866478,<=,61,77,23,39,0.69,0.69,0.7261904761904762,0.61,0.77
question_alignment,0.767911304770556,>=,39,23,77,61,0.31,0.31,0.33620689655172414,0.39,0.23
question_alignment,0.767911304770556,<=,61,76,24,39,0.685,0.685,0.7176470588235294,0.61,0.76
question_alignment,0.7692319320188817,>=,39,24,76,61,0.315,0.315,0.3391304347826087,0.39,0.24
question_alignment,0.7692319320188817,<=,62,76,24,38,0.69,0.69,0.7209302325581395,0.62,0.76
question_alignment,0.7697604981029976,>=,38,24,76,62,0.31,0.31,0.3333333333333333,0.38,0.24
question_alignment,0.7697604981029976,<=,63,76,24,37,0.695,0.6950000000000001,0.7241379310344828,0.63,0.76
question_alignment,0.7702050606381569,>=,37,24,76,63,0.305,0.305,0.3274336283185841,0.37,0.24
question_alignment,0.7702050606381569,<=,63,75,25,37,0.69,0.69,0.7159090909090909,0.63,0.75
question_alignment,0.7705874810076138,>=,37,25,75,63,0.31,0.31,0.33035714285714285,0.37,0.25
question_alignment,0.7705874810076138,<=,64,75,25,36,0.695,0.6950000000000001,0.7191011235955056,0.64,0.75
question_alignment,0.7714937638343928,>=,36,25,75,64,0.305,0.305,0.32432432432432434,0.36,0.25
question_alignment,0.7714937638343928,<=,65,75,25,35,0.7,0.7,0.7222222222222222,0.65,0.75
question_alignment,0.772563489210847,>=,35,25,75,65,0.3,0.3,0.3181818181818182,0.35,0.25
question_alignment,0.772563489210847,<=,65,74,26,35,0.695,0.6950000000000001,0.7142857142857143,0.65,0.74
question_alignment,0.7728154250031625,>=,35,26,74,65,0.305,0.305,0.3211009174311927,0.35,0.26
question_alignment,0.7728154250031625,<=,66,74,26,34,0.7,0.7,0.717391304347826,0.66,0.74
question_alignment,0.7736405384960289,>=,34,26,74,66,0.3,0.30000000000000004,0.3148148148148148,0.34,0.26
question_alignment,0.7736405384960289,<=,67,74,26,33,0.705,0.7050000000000001,0.7204301075268817,0.67,0.74
question_alignment,0.775148705947429,>=,33,26,74,67,0.295,0.29500000000000004,0.308411214953271,0.33,0.26
question_alignment,0.775148705947429,<=,67,73,27,33,0.7,0.7,0.7127659574468085,0.67,0.73
question_alignment,0.7752152893154667,>=,33,27,73,67,0.3,0.30000000000000004,0.3113207547169811,0.33,0.27
question_alignment,0.7752152893154667,<=,68,73,27,32,0.705,0.7050000000000001,0.7157894736842105,0.68,0.73
question_alignment,0.7752417604301218,>=,32,27,73,68,0.295,0.29500000000000004,0.3047619047619048,0.32,0.27
question_alignment,0.7752417604301218,<=,68,72,28,32,0.7,0.7,0.7083333333333334,0.68,0.72
question_alignment,0.7766548344577386,>=,32,28,72,68,0.3,0.30000000000000004,0.3076923076923077,0.32,0.28
question_alignment,0.7766548344577386,<=,68,71,29,32,0.695,0.6950000000000001,0.7010309278350515,0.68,0.71
question_alignment,0.7767683144336933,>=,32,29,71,68,0.305,0.305,0.3106796116504854,0.32,0.29
question_alignment,0.7767683144336933,<=,69,71,29,31,0.7,0.7,0.7040816326530612,0.69,0.71
question_alignment,0.7784828224527227,>=,31,29,71,69,0.3,0.3,0.30392156862745096,0.31,0.29
question_alignment,0.7784828224527227,<=,70,71,29,30,0.705,0.705,0.7070707070707071,0.7,0.71
question_alignment,0.7795841870799649,>=,30,29,71,70,0.295,0.295,0.297029702970297,0.3,0.29
question_alignment,0.7795841870799649,<=,70,70,30,30,0.7,0.7,0.7,0.7,0.7
question_alignment,0.7811579043132504,>=,30,30,70,70,0.3,0.3,0.3,0.3,0.3
question_alignment,0.7811579043132504,<=,71,70,30,29,0.705,0.705,0.7029702970297029,0.71,0.7
question_alignment,0.7812093328256651,>=,29,30,70,71,0.295,0.295,0.29292929292929293,0.29,0.3
question_alignment,0.7812093328256651,<=,72,70,30,28,0.71,0.71,0.7058823529411765,0.72,0.7
question_alignment,0.7812735440608811,>=,28,30,70,72,0.29,0.29000000000000004,0.2857142857142857,0.28,0.3
question_alignment,0.7812735440608811,<=,72,69,31,28,0.705,0.705,0.6990291262135923,0.72,0.69
question_alignment,0.7824277620224435,>=,28,31,69,72,0.295,0.29500000000000004,0.28865979381443296,0.28,0.31
question_alignment,0.7824277620224435,<=,72,68,32,28,0.7,0.7,0.6923076923076923,0.72,0.68
question_alignment,0.783231721568644,>=,28,32,68,72,0.3,0.30000000000000004,0.2916666666666667,0.28,0.32
question_alignment,0.783231721568644,<=,72,67,33,28,0.695,0.6950000000000001,0.6857142857142857,0.72,0.67
question_alignment,0.783589450840063,>=,28,33,67,72,0.305,0.30500000000000005,0.29473684210526313,0.28,0.33
question_alignment,0.783589450840063,<=,73,67,33,27,0.7,0.7,0.6886792452830188,0.73,0.67
question_alignment,0.7849281247724366,>=,27,33,67,73,0.3,0.30000000000000004,0.2872340425531915,0.27,0.33
question_alignment,0.7849281247724366,<=,74,67,33,26,0.705,0.7050000000000001,0.6915887850467289,0.74,0.67
question_alignment,0.7849724835765088,>=,26,33,67,74,0.295,0.29500000000000004,0.27956989247311825,0.26,0.33
question_alignment,0.7849724835765088,<=,75,67,33,25,0.71,0.71,0.6944444444444444,0.75,0.67
question_alignment,0.7854651793878162,>=,25,33,67,75,0.29,0.29000000000000004,0.2717391304347826,0.25,0.33
question_alignment,0.7854651793878162,<=,75,66,34,25,0.705,0.7050000000000001,0.6880733944954128,0.75,0.66
question_alignment,0.7856938798517683,>=,25,34,66,75,0.295,0.29500000000000004,0.27472527472527475,0.25,0.34
question_alignment,0.7856938798517683,<=,75,65,35,25,0.7,0.7,0.6818181818181818,0.75,0.65
question_alignment,0.7865317956055473,>=,25,35,65,75,0.3,0.3,0.2777777777777778,0.25,0.35
question_alignment,0.7865317956055473,<=,75,64,36,25,0.695,0.6950000000000001,0.6756756756756757,0.75,0.64
question_alignment,0.7867109804236517,>=,25,36,64,75,0.305,0.305,0.2808988764044944,0.25,0.36
question_alignment,0.7867109804236517,<=,76,64,36,24,0.7,0.7,0.6785714285714286,0.76,0.64
question_alignment,0.7886268018125862,>=,24,36,64,76,0.3,0.3,0.2727272727272727,0.24,0.36
question_alignment,0.7886268018125862,<=,76,63,37,24,0.695,0.6950000000000001,0.672566371681416,0.76,0.63
question_alignment,0.78975319424471,>=,24,37,63,76,0.305,0.305,0.27586206896551724,0.24,0.37
question_alignment,0.78975319424471,<=,77,63,37,23,0.7,0.7,0.6754385964912281,0.77,0.63
question_alignment,0.7900683134952462,>=,23,37,63,77,0.3,0.3,0.26744186046511625,0.23,0.37
question_alignment,0.7900683134952462,<=,78,63,37,22,0.705,0.7050000000000001,0.6782608695652174,0.78,0.63
question_alignment,0.7903118907619904,>=,22,37,63,78,0.295,0.295,0.25882352941176473,0.22,0.37
question_alignment,0.7903118907619904,<=,78,62,38,22,0.7,0.7,0.6724137931034483,0.78,0.62
question_alignment,0.7908250940297921,>=,22,38,62,78,0.3,0.3,0.2619047619047619,0.22,0.38
question_alignment,0.7908250940297921,<=,78,61,39,22,0.695,0.6950000000000001,0.6666666666666666,0.78,0.61
question_alignment,0.7914096935037875,>=,22,39,61,78,0.305,0.305,0.26506024096385544,0.22,0.39
question_alignment,0.7914096935037875,<=,79,61,39,21,0.7,0.7,0.6694915254237288,0.79,0.61
question_alignment,0.7924589244185023,>=,21,39,61,79,0.3,0.3,0.25609756097560976,0.21,0.39
question_alignment,0.7924589244185023,<=,79,60,40,21,0.695,0.6950000000000001,0.6638655462184874,0.79,0.6
question_alignment,0.7932242616305392,>=,21,40,60,79,0.305,0.305,0.25925925925925924,0.21,0.4
question_alignment,0.7932242616305392,<=,79,59,41,21,0.69,0.69,0.6583333333333333,0.79,0.59
question_alignment,0.793243255374936,>=,21,41,59,79,0.31,0.31,0.2625,0.21,0.41
question_alignment,0.793243255374936,<=,79,58,42,21,0.685,0.685,0.6528925619834711,0.79,0.58
question_alignment,0.7939778175646208,>=,21,42,58,79,0.315,0.315,0.26582278481012656,0.21,0.42
question_alignment,0.7939778175646208,<=,80,58,42,20,0.69,0.69,0.6557377049180327,0.8,0.58
question_alignment,0.7954770709036548,>=,20,42,58,80,0.31,0.31,0.2564102564102564,0.2,0.42
question_alignment,0.7954770709036548,<=,81,58,42,19,0.695,0.6950000000000001,0.6585365853658537,0.81,0.58
question_alignment,0.7958583220586617,>=,19,42,58,81,0.305,0.305,0.24675324675324675,0.19,0.42
question_alignment,0.7958583220586617,<=,82,58,42,18,0.7,0.7,0.6612903225806451,0.82,0.58
question_alignment,0.7964176289654505,>=,18,42,58,82,0.3,0.3,0.23684210526315788,0.18,0.42
question_alignment,0.7964176289654505,<=,82,57,43,18,0.695,0.695,0.656,0.82,0.57
question_alignment,0.7972020091534429,>=,18,43,57,82,0.305,0.305,0.24,0.18,0.43
question_alignment,0.7972020091534429,<=,83,57,43,17,0.7,0.7,0.6587301587301587,0.83,0.57
question_alignment,0.7976336901004143,>=,17,43,57,83,0.3,0.3,0.22972972972972974,0.17,0.43
question_alignment,0.7976336901004143,<=,83,56,44,17,0.695,0.6950000000000001,0.6535433070866141,0.83,0.56
question_alignment,0.797749689897852,>=,17,44,56,83,0.305,0.305,0.2328767123287671,0.17,0.44
question_alignment,0.797749689897852,<=,83,55,45,17,0.69,0.69,0.6484375,0.83,0.55
question_alignment,0.7978109727743962,>=,17,45,55,83,0.31,0.31,0.2361111111111111,0.17,0.45
question_alignment,0.7978109727743962,<=,83,54,46,17,0.685,0.685,0.6434108527131783,0.83,0.54
question_alignment,0.7980170867836419,>=,17,46,54,83,0.315,0.315,0.23943661971830985,0.17,0.46
question_alignment,0.7980170867836419,<=,84,54,46,16,0.69,0.69,0.6461538461538462,0.84,0.54
question_alignment,0.7985036895472417,>=,16,46,54,84,0.31,0.31,0.22857142857142856,0.16,0.46
question_alignment,0.7985036895472417,<=,84,53,47,16,0.685,0.685,0.6412213740458015,0.84,0.53
question_alignment,0.8007999660074778,>=,16,47,53,84,0.315,0.315,0.2318840579710145,0.16,0.47
question_alignment,0.8007999660074778,<=,84,52,48,16,0.68,0.6799999999999999,0.6363636363636364,0.84,0.52
question_alignment,0.8008735543322387,>=,16,48,52,84,0.32,0.32,0.23529411764705882,0.16,0.48
question_alignment,0.8008735543322387,<=,84,51,49,16,0.675,0.675,0.631578947368421,0.84,0.51
question_alignment,0.8014826976090431,>=,16,49,51,84,0.325,0.325,0.23880597014925373,0.16,0.49
question_alignment,0.8014826976090431,<=,85,51,49,15,0.68,0.6799999999999999,0.6343283582089553,0.85,0.51
question_alignment,0.8018898537579814,>=,15,49,51,85,0.32,0.32,0.22727272727272727,0.15,0.49
question_alignment,0.8018898537579814,<=,85,50,50,15,0.675,0.675,0.6296296296296297,0.85,0.5
